cost_id,campaign_id,business_date,variant,channel,cost_type,amount_cents
byte_full_funnel_sale_c_0_0,byte_full_funnel_sale,2026-06-12,单件直降,all,media_and_reward,13500
byte_full_funnel_sale_c_1_0,byte_full_funnel_sale,2026-06-12,直播组合包,all,media_and_reward,16000
byte_full_funnel_sale_c_0_1,byte_full_funnel_sale,2026-06-13,单件直降,all,media_and_reward,13500
byte_full_funnel_sale_c_1_1,byte_full_funnel_sale,2026-06-13,直播组合包,all,media_and_reward,16000
byte_full_funnel_sale_c_0_2,byte_full_funnel_sale,2026-06-14,单件直降,all,media_and_reward,13500
byte_full_funnel_sale_c_1_2,byte_full_funnel_sale,2026-06-14,直播组合包,all,media_and_reward,16000
byte_full_funnel_sale_c_0_3,byte_full_funnel_sale,2026-06-15,单件直降,all,media_and_reward,13500
byte_full_funnel_sale_c_1_3,byte_full_funnel_sale,2026-06-15,直播组合包,all,media_and_reward,16000
byte_full_funnel_sale_c_0_4,byte_full_funnel_sale,2026-06-16,单件直降,all,media_and_reward,13500
byte_full_funnel_sale_c_1_4,byte_full_funnel_sale,2026-06-16,直播组合包,all,media_and_reward,16000
byte_full_funnel_sale_c_0_5,byte_full_funnel_sale,2026-06-17,单件直降,all,media_and_reward,13500
byte_full_funnel_sale_c_1_5,byte_full_funnel_sale,2026-06-17,直播组合包,all,media_and_reward,16000
byte_full_funnel_sale_c_0_6,byte_full_funnel_sale,2026-06-18,单件直降,all,media_and_reward,13500
byte_full_funnel_sale_c_1_6,byte_full_funnel_sale,2026-06-18,直播组合包,all,media_and_reward,16000
tencent_game_return_ops_c_0_0,tencent_game_return_ops,2026-07-16,登录礼包,all,media_and_reward,10000
tencent_game_return_ops_c_1_0,tencent_game_return_ops,2026-07-16,阶段任务,all,media_and_reward,13800
tencent_game_return_ops_c_0_1,tencent_game_return_ops,2026-07-17,登录礼包,all,media_and_reward,10000
tencent_game_return_ops_c_1_1,tencent_game_return_ops,2026-07-17,阶段任务,all,media_and_reward,13800
tencent_game_return_ops_c_0_2,tencent_game_return_ops,2026-07-18,登录礼包,all,media_and_reward,10000
tencent_game_return_ops_c_1_2,tencent_game_return_ops,2026-07-18,阶段任务,all,media_and_reward,13800
tencent_game_return_ops_c_0_3,tencent_game_return_ops,2026-07-19,登录礼包,all,media_and_reward,10000
tencent_game_return_ops_c_1_3,tencent_game_return_ops,2026-07-19,阶段任务,all,media_and_reward,13800
tencent_game_return_ops_c_0_4,tencent_game_return_ops,2026-07-20,登录礼包,all,media_and_reward,10000
tencent_game_return_ops_c_1_4,tencent_game_return_ops,2026-07-20,阶段任务,all,media_and_reward,13800
tencent_game_return_ops_c_0_5,tencent_game_return_ops,2026-07-21,登录礼包,all,media_and_reward,10000
tencent_game_return_ops_c_1_5,tencent_game_return_ops,2026-07-21,阶段任务,all,media_and_reward,13800
tencent_game_return_ops_c_0_6,tencent_game_return_ops,2026-07-22,登录礼包,all,media_and_reward,10000
tencent_game_return_ops_c_1_6,tencent_game_return_ops,2026-07-22,阶段任务,all,media_and_reward,13800
tencent_private_retail_c_0_0,tencent_private_retail,2026-08-06,单券承接,all,media_and_reward,7200
tencent_private_retail_c_1_0,tencent_private_retail,2026-08-06,内容与券联动,all,media_and_reward,11200
tencent_private_retail_c_0_1,tencent_private_retail,2026-08-07,单券承接,all,media_and_reward,7200
tencent_private_retail_c_1_1,tencent_private_retail,2026-08-07,内容与券联动,all,media_and_reward,11200
tencent_private_retail_c_0_2,tencent_private_retail,2026-08-08,单券承接,all,media_and_reward,7200
tencent_private_retail_c_1_2,tencent_private_retail,2026-08-08,内容与券联动,all,media_and_reward,11200
tencent_private_retail_c_0_3,tencent_private_retail,2026-08-09,单券承接,all,media_and_reward,7200
tencent_private_retail_c_1_3,tencent_private_retail,2026-08-09,内容与券联动,all,media_and_reward,11200
tencent_private_retail_c_0_4,tencent_private_retail,2026-08-10,单券承接,all,media_and_reward,7200
tencent_private_retail_c_1_4,tencent_private_retail,2026-08-10,内容与券联动,all,media_and_reward,11200
tencent_private_retail_c_0_5,tencent_private_retail,2026-08-11,单券承接,all,media_and_reward,7200
tencent_private_retail_c_1_5,tencent_private_retail,2026-08-11,内容与券联动,all,media_and_reward,11200
tencent_private_retail_c_0_6,tencent_private_retail,2026-08-12,单券承接,all,media_and_reward,7200
tencent_private_retail_c_1_6,tencent_private_retail,2026-08-12,内容与券联动,all,media_and_reward,11200
