panel_unit,campaign_id,period,metric,treated,post,outcome,interference_reviewed
byte_full_funnel_sale_c_01,byte_full_funnel_sale,2026-05-22,completed_orders,0,0,82,1
byte_full_funnel_sale_c_01,byte_full_funnel_sale,2026-05-29,completed_orders,0,0,86,1
byte_full_funnel_sale_c_01,byte_full_funnel_sale,2026-06-05,completed_orders,0,0,90,1
byte_full_funnel_sale_c_01,byte_full_funnel_sale,2026-06-12,completed_orders,0,1,94,1
byte_full_funnel_sale_c_02,byte_full_funnel_sale,2026-05-22,completed_orders,0,0,85,1
byte_full_funnel_sale_c_02,byte_full_funnel_sale,2026-05-29,completed_orders,0,0,89,1
byte_full_funnel_sale_c_02,byte_full_funnel_sale,2026-06-05,completed_orders,0,0,93,1
byte_full_funnel_sale_c_02,byte_full_funnel_sale,2026-06-12,completed_orders,0,1,97,1
byte_full_funnel_sale_c_03,byte_full_funnel_sale,2026-05-22,completed_orders,0,0,88,1
byte_full_funnel_sale_c_03,byte_full_funnel_sale,2026-05-29,completed_orders,0,0,92,1
byte_full_funnel_sale_c_03,byte_full_funnel_sale,2026-06-05,completed_orders,0,0,96,1
byte_full_funnel_sale_c_03,byte_full_funnel_sale,2026-06-12,completed_orders,0,1,100,1
byte_full_funnel_sale_c_04,byte_full_funnel_sale,2026-05-22,completed_orders,0,0,91,1
byte_full_funnel_sale_c_04,byte_full_funnel_sale,2026-05-29,completed_orders,0,0,95,1
byte_full_funnel_sale_c_04,byte_full_funnel_sale,2026-06-05,completed_orders,0,0,99,1
byte_full_funnel_sale_c_04,byte_full_funnel_sale,2026-06-12,completed_orders,0,1,103,1
byte_full_funnel_sale_c_05,byte_full_funnel_sale,2026-05-22,completed_orders,0,0,94,1
byte_full_funnel_sale_c_05,byte_full_funnel_sale,2026-05-29,completed_orders,0,0,98,1
byte_full_funnel_sale_c_05,byte_full_funnel_sale,2026-06-05,completed_orders,0,0,102,1
byte_full_funnel_sale_c_05,byte_full_funnel_sale,2026-06-12,completed_orders,0,1,106,1
byte_full_funnel_sale_c_06,byte_full_funnel_sale,2026-05-22,completed_orders,0,0,97,1
byte_full_funnel_sale_c_06,byte_full_funnel_sale,2026-05-29,completed_orders,0,0,101,1
byte_full_funnel_sale_c_06,byte_full_funnel_sale,2026-06-05,completed_orders,0,0,105,1
byte_full_funnel_sale_c_06,byte_full_funnel_sale,2026-06-12,completed_orders,0,1,109,1
byte_full_funnel_sale_c_07,byte_full_funnel_sale,2026-05-22,completed_orders,0,0,100,1
byte_full_funnel_sale_c_07,byte_full_funnel_sale,2026-05-29,completed_orders,0,0,104,1
byte_full_funnel_sale_c_07,byte_full_funnel_sale,2026-06-05,completed_orders,0,0,108,1
byte_full_funnel_sale_c_07,byte_full_funnel_sale,2026-06-12,completed_orders,0,1,112,1
byte_full_funnel_sale_c_08,byte_full_funnel_sale,2026-05-22,completed_orders,0,0,103,1
byte_full_funnel_sale_c_08,byte_full_funnel_sale,2026-05-29,completed_orders,0,0,107,1
byte_full_funnel_sale_c_08,byte_full_funnel_sale,2026-06-05,completed_orders,0,0,111,1
byte_full_funnel_sale_c_08,byte_full_funnel_sale,2026-06-12,completed_orders,0,1,115,1
byte_full_funnel_sale_t_01,byte_full_funnel_sale,2026-05-22,completed_orders,1,0,88,1
byte_full_funnel_sale_t_01,byte_full_funnel_sale,2026-05-29,completed_orders,1,0,92,1
byte_full_funnel_sale_t_01,byte_full_funnel_sale,2026-06-05,completed_orders,1,0,96,1
byte_full_funnel_sale_t_01,byte_full_funnel_sale,2026-06-12,completed_orders,1,1,110,1
byte_full_funnel_sale_t_02,byte_full_funnel_sale,2026-05-22,completed_orders,1,0,91,1
byte_full_funnel_sale_t_02,byte_full_funnel_sale,2026-05-29,completed_orders,1,0,95,1
byte_full_funnel_sale_t_02,byte_full_funnel_sale,2026-06-05,completed_orders,1,0,99,1
byte_full_funnel_sale_t_02,byte_full_funnel_sale,2026-06-12,completed_orders,1,1,114,1
byte_full_funnel_sale_t_03,byte_full_funnel_sale,2026-05-22,completed_orders,1,0,94,1
byte_full_funnel_sale_t_03,byte_full_funnel_sale,2026-05-29,completed_orders,1,0,98,1
byte_full_funnel_sale_t_03,byte_full_funnel_sale,2026-06-05,completed_orders,1,0,102,1
byte_full_funnel_sale_t_03,byte_full_funnel_sale,2026-06-12,completed_orders,1,1,118,1
byte_full_funnel_sale_t_04,byte_full_funnel_sale,2026-05-22,completed_orders,1,0,97,1
byte_full_funnel_sale_t_04,byte_full_funnel_sale,2026-05-29,completed_orders,1,0,101,1
byte_full_funnel_sale_t_04,byte_full_funnel_sale,2026-06-05,completed_orders,1,0,105,1
byte_full_funnel_sale_t_04,byte_full_funnel_sale,2026-06-12,completed_orders,1,1,122,1
byte_full_funnel_sale_t_05,byte_full_funnel_sale,2026-05-22,completed_orders,1,0,100,1
byte_full_funnel_sale_t_05,byte_full_funnel_sale,2026-05-29,completed_orders,1,0,104,1
byte_full_funnel_sale_t_05,byte_full_funnel_sale,2026-06-05,completed_orders,1,0,108,1
byte_full_funnel_sale_t_05,byte_full_funnel_sale,2026-06-12,completed_orders,1,1,122,1
byte_full_funnel_sale_t_06,byte_full_funnel_sale,2026-05-22,completed_orders,1,0,103,1
byte_full_funnel_sale_t_06,byte_full_funnel_sale,2026-05-29,completed_orders,1,0,107,1
byte_full_funnel_sale_t_06,byte_full_funnel_sale,2026-06-05,completed_orders,1,0,111,1
byte_full_funnel_sale_t_06,byte_full_funnel_sale,2026-06-12,completed_orders,1,1,126,1
byte_full_funnel_sale_t_07,byte_full_funnel_sale,2026-05-22,completed_orders,1,0,106,1
byte_full_funnel_sale_t_07,byte_full_funnel_sale,2026-05-29,completed_orders,1,0,110,1
byte_full_funnel_sale_t_07,byte_full_funnel_sale,2026-06-05,completed_orders,1,0,114,1
byte_full_funnel_sale_t_07,byte_full_funnel_sale,2026-06-12,completed_orders,1,1,130,1
byte_full_funnel_sale_t_08,byte_full_funnel_sale,2026-05-22,completed_orders,1,0,109,1
byte_full_funnel_sale_t_08,byte_full_funnel_sale,2026-05-29,completed_orders,1,0,113,1
byte_full_funnel_sale_t_08,byte_full_funnel_sale,2026-06-05,completed_orders,1,0,117,1
byte_full_funnel_sale_t_08,byte_full_funnel_sale,2026-06-12,completed_orders,1,1,134,1
byte_full_funnel_sale_c_01,byte_full_funnel_sale,2026-05-22,buyer_users,0,0,74,1
byte_full_funnel_sale_c_01,byte_full_funnel_sale,2026-05-29,buyer_users,0,0,77,1
byte_full_funnel_sale_c_01,byte_full_funnel_sale,2026-06-05,buyer_users,0,0,80,1
byte_full_funnel_sale_c_01,byte_full_funnel_sale,2026-06-12,buyer_users,0,1,83,1
byte_full_funnel_sale_c_02,byte_full_funnel_sale,2026-05-22,buyer_users,0,0,77,1
