order_id,user_key,paid_at,campaign_id,variant,channel,location_id,audience,status,gross_cents,merchant_discount_cents,platform_discount_cents,refund_cents,cost_cents
byte_full_funnel_sale_base_o_0000,byte_full_funnel_sale_base_u_0000,2026-06-05T09:00:00,,单件直降,short_video,online_flagship,new_customer,completed,9300,0,0,500,4700
byte_full_funnel_sale_base_o_0001,byte_full_funnel_sale_base_u_0001,2026-06-06T10:01:00,,直播组合包,live_room,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0002,byte_full_funnel_sale_base_u_0002,2026-06-07T11:02:00,,单件直降,mall,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0003,byte_full_funnel_sale_base_u_0003,2026-06-08T12:03:00,,直播组合包,short_video,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0004,byte_full_funnel_sale_base_u_0004,2026-06-09T13:04:00,,单件直降,live_room,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0005,byte_full_funnel_sale_base_u_0005,2026-06-10T14:05:00,,直播组合包,mall,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0006,byte_full_funnel_sale_base_u_0006,2026-06-11T15:06:00,,单件直降,short_video,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0007,byte_full_funnel_sale_base_u_0007,2026-06-05T16:07:00,,直播组合包,live_room,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0008,byte_full_funnel_sale_base_u_0008,2026-06-06T17:08:00,,单件直降,mall,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0009,byte_full_funnel_sale_base_u_0009,2026-06-07T18:09:00,,直播组合包,short_video,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0010,byte_full_funnel_sale_base_u_0010,2026-06-08T19:10:00,,单件直降,live_room,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0011,byte_full_funnel_sale_base_u_0011,2026-06-09T09:11:00,,直播组合包,mall,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0012,byte_full_funnel_sale_base_u_0012,2026-06-10T10:12:00,,单件直降,short_video,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0013,byte_full_funnel_sale_base_u_0013,2026-06-11T11:13:00,,直播组合包,live_room,regional_store,returning_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0014,byte_full_funnel_sale_base_u_0014,2026-06-05T12:14:00,,单件直降,mall,online_flagship,new_customer,completed,9300,0,0,0,4700
byte_full_funnel_sale_base_o_0015,byte_full_funnel_sale_base_u_0015,2026-06-06T13:15:00,,直播组合包,short_video,regional_store,returning_customer,completed,9300,0,0,0,4700
